,boxes
0,"[[(array([[222.14195857,  69.05111788]]), array([[219.50673424,  57.34404341]]), array([[209.33189764,  59.63436599]]), array([[211.96712197,  71.34144046]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[207.36172803, 128.95265326]]), array([[196.71833733, 123.41024996]]), array([[190.45689942, 135.43444351]]), array([[201.10029012, 140.97684681]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[207.23400709, 195.03199508]]), array([[196.84605827, 189.02445653]]), array([[188.23658115, 203.91155331]]), array([[198.62452996, 209.91909185]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[205.54917883, 273.67324145]]), array([[195.40016757, 267.27030694]]), array([[186.00801071, 282.15740371]]), array([[196.15702197, 288.56033823]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[237.44013162, 330.29841368]]), array([[226.12359387, 326.30642503]]), array([[219.86215596, 344.05642503]]), array([[231.17869371, 348.04841368]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[187.37569677, 417.07582966]]), array([[177.57038167, 410.1580413 ]]), array([[165.04750585, 427.9080413 ]]), array([[174.85282095, 434.82582966]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[216.6740046 , 480.16157864]]), array([[214.01717187, 468.4593891 ]]), array([[191.31945946, 473.61261491]]), array([[193.97629218, 485.31480444]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[189.79126546, 526.80505028]]), array([[201.76592409, 526.02559488]]), array([[200.98324435, 514.00140133]]), array([[189.00858572, 514.78085674]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[203.89180861, 585.63571498]]), array([[187.66538094, 580.56589792]]), array([[181.40394303, 600.6062205 ]]), array([[197.6303707 , 605.67603756]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[182.59626962, 624.23737126]]), array([[199.56876306, 623.27069326]]), array([[198.78608332, 609.52875777]]), array([[181.81358988, 610.49543577]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
