,boxes
0,"[[(array([[341.54042838, 150.36758013]]), array([[333.54127097, 170.86181055]]), array([[366.45303567, 183.70768869]]), array([[374.45219308, 163.21345826]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[335.95264103, 202.83621248]]), array([[331.81533283, 219.32507784]]), array([[361.07023479, 226.66557963]]), array([[365.20754299, 210.17671427]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[353.12443942, 270.08264432]]), array([[343.8984364 , 300.72380729]]), array([[380.46706385, 311.73455998]]), array([[389.69306687, 281.09339701]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[416.77287582, 339.29749104]]), array([[416.77287582, 356.29749104]]), array([[463.09313725, 356.29749104]]), array([[463.09313725, 339.29749104]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[450.97772717, 354.19668976]]), array([[465.45691336, 370.76029949]]), array([[503.24449506, 337.72804142]]), array([[488.76530887, 321.16443169]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[368.518048  , 427.39823818]]), array([[345.5701873 , 413.17165429]]), array([[319.97214808, 454.46197687]]), array([[342.92000878, 468.68856076]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[439.10924301, 452.53282021]]), array([[465.13585503, 433.91520847]]), array([[439.53781581, 398.13026223]]), array([[413.51120379, 416.74787397]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[ 48.97971124, 407.41363116]]), array([[ 65.38303386, 379.93762332]]), array([[ 30.03336065, 358.83368066]]), array([[ 13.63003804, 386.30968851]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[270.70785588, 623.84250449]]), array([[243.47188269, 640.64136648]]), array([[259.31828791, 666.33312275]]), array([[286.55426111, 649.53426076]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[199.3093418 , 643.50347297]]), array([[178.34752095, 626.48577434]]), array([[151.53052748, 659.51803241]]), array([[172.49234833, 676.53573103]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[106.86016616, 729.4655274 ]]), array([[119.64636978, 705.68501023]]), array([[ 85.51565083, 687.33375575]]), array([[ 72.72944721, 711.11427292]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[320.67360125, 678.96732275]]), array([[281.2708432 , 664.42694249]]), array([[256.89175823, 730.49145861]]), array([[296.29451628, 745.03183888]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[447.73717181, 844.85032659]]), array([[417.50139028, 834.37189563]]), array([[402.8739393 , 876.57978094]]), array([[433.10972083, 887.0582119 ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
13,"[[(array([[351.92912737, 788.56908543]]), array([[357.28329093, 809.90761708]]), array([[390.19505563, 801.64955256]]), array([[384.84089208, 780.31102092]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
14,"[[(array([[375.82255667, 890.08061374]]), array([[384.58594006, 910.25988805]]), array([[416.27875052, 896.49644719]]), array([[407.51536713, 876.31717288]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
