,boxes
0,"[[(array([[377.85368724,  97.36775918]]), array([[364.86853498, 115.12686447]]), array([[395.20186832, 137.30607594]]), array([[408.18702057, 119.54697065]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[379.80756917, 190.90906145]]), array([[368.69243083, 203.77194214]]), array([[392.52576416, 224.36692421]]), array([[403.64090251, 211.50404353]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[375.345323  , 218.52389763]]), array([[364.48801033, 231.60513463]]), array([[391.21023255, 253.7843461 ]]), array([[402.06754522, 240.7031091 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[364.56643168, 257.63604584]]), array([[357.93356832, 273.28868534]]), array([[389.71134609, 286.75463517]]), array([[396.34420946, 271.10199566]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[363.48881859, 276.90187267]]), array([[353.23340363, 290.4601345 ]]), array([[374.17784808, 306.30242841]]), array([[384.43326304, 292.74416657]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[365.98162119, 330.49826532]]), array([[359.4072677 , 346.17556981]]), array([[383.96282325, 356.47306085]]), array([[390.53717675, 340.79575636]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[355.90690762, 337.39271016]]), array([[344.92642572, 350.3707307 ]]), array([[370.20420349, 371.75782748]]), array([[381.18468539, 358.77980693]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[359.42258159, 369.25793131]]), array([[350.07741841, 383.45891456]]), array([[368.13297397, 395.34063499]]), array([[377.47813714, 381.13965174]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[367.35619036, 413.19589989]]), array([[363.81047631, 429.82202126]]), array([[389.81047631, 435.36682413]]), array([[393.35619036, 418.74070276]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[365.72390091, 486.82813443]]), array([[359.66498798, 497.18620249]]), array([[381.33165464, 509.86003762]]), array([[387.39056758, 499.50196955]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[363.01504024, 514.58491771]]), array([[359.48495976, 531.21436544]]), array([[381.87384865, 535.96705361]]), array([[385.40392913, 519.33760588]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[356.2495828 , 557.21304291]]), array([[348.91708387, 572.55039795]]), array([[377.08375053, 586.01634777]]), array([[384.41624947, 570.67899273]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
12,"[[(array([[353.19296575, 568.77897846]]), array([[340.41814536, 579.99521509]]), array([[359.19592314, 601.38231186]]), array([[371.97074352, 590.16607523]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
13,"[[(array([[346.56575768, 626.78497778]]), array([[339.82313121, 642.39064946]]), array([[363.65646454, 652.68814049]]), array([[370.39909101, 637.08246882]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
14,"[[(array([[353.53048616, 668.14422587]]), array([[341.52506939, 686.57978847]]), array([[364.6361805 , 701.62996768]]), array([[376.64159727, 683.19440508]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
15,"[[(array([[348.85518788, 735.32400764]]), array([[340.4225899 , 755.64373429]]), array([[367.14481212, 766.73334003]]), array([[375.5774101 , 746.41361338]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
16,"[[(array([[351.86111111, 793.89247312]]), array([[351.86111111, 815.89247312]]), array([[375.69444444, 815.89247312]]), array([[375.69444444, 793.89247312]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
17,"[[(array([[357.54032377, 855.09634896]]), array([[363.51523179, 881.42694853]]), array([[384.45967623, 876.67426036]]), array([[378.48476821, 850.34366078]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
18,"[[(array([[263.40283267,  16.54841619]]), array([[258.31938956,  32.77058023]]), array([[278.54161178,  39.10749779]]), array([[283.62505489,  22.88533375]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
