,boxes
0,"[[(array([[430.28982431,  42.45937497]]), array([[426.3746637,  53.8027218]]), array([[446.52716915,  60.75836697]]), array([[450.44232976,  49.41502013]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[376.43636102, 113.32430103]]), array([[368.02769127, 128.09908607]]), array([[389.81418364, 140.49827962]]), array([[398.22285339, 125.72349458]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[405.76882484, 164.93536189]]), array([[401.87605533, 176.28641231]]), array([[420.39457385, 182.63721876]]), array([[424.28734336, 171.28616834]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[334.26793953, 220.10641195]]), array([[332.85406483, 226.96213644]]), array([[351.91724566, 230.89358805]]), array([[353.33112036, 224.03786356]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[328.3877037 , 256.70269079]]), array([[331.10902833, 268.39005115]]), array([[347.99355992, 264.45859954]]), array([[345.27223529, 252.77123917]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[238.03457966, 142.37279271]]), array([[236.27696718, 130.50220729]]), array([[211.76716326, 134.13123955]]), array([[213.52477574, 146.00182497]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[234.55817556, 266.80003881]]), array([[243.02134514, 258.29270312]]), array([[229.94944972, 245.28867086]]), array([[221.48628013, 253.79600656]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[228.24842234, 305.37446457]]), array([[230.81257984, 317.09730963]]), array([[248.78643605, 313.16585801]]), array([[246.22227855, 301.44301295]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[352.95510672,  51.95596993]]), array([[341.4000131 ,  55.19322362]]), array([[345.21264927,  68.80209459]]), array([[356.76774289,  65.56484089]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[259.94831895, 136.87926114]]), array([[248.13229107, 134.78606144]]), array([[244.86431721, 153.23364209]]), array([[256.6803451 , 155.32684178]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[235.99338876, 179.24596885]]), array([[233.9608596 , 167.41935373]]), array([[211.08504261, 171.35080534]]), array([[213.11757177, 183.17742046]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
